rank	name	kp_rating	imdb_rating	year	url	_utc_timestamp
33	Властелин колец: Две крепости	8.564	8.7	2002	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/312/	2019-12-17 18:48:56
34	Американская история X	8.296	8.5	1998	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/382/	2019-12-17 18:48:56
35	Джентльмены удачи	8.526	8.5	1971	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/44386/	2019-12-17 18:48:56
36	Пираты Карибского моря: Проклятие Черной жемчужины	8.334	8.0	2003	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/4374/	2019-12-17 18:48:56
37	Остров проклятых	8.493	8.1	2009	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/397667/	2019-12-17 18:48:56
38	Пролетая над гнездом кукушки	8.543	8.7	1975	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/336/	2019-12-17 18:48:56
39	Темный рыцарь	8.5	9.0	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/111543/	2019-12-17 18:48:56
40	Титаник	8.365	7.8	1997	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2213/	2019-12-17 18:48:56
41	12 разгневанных мужчин	8.511	8.9	1956	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/346/	2019-12-17 18:48:56
42	Запах женщины	8.451	8.0	1992	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/4871/	2019-12-17 18:48:56
43	В джазе только девушки	8.461	8.2	1959	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/356/	2019-12-17 18:48:56
44	Пробуждение	8.439	7.8	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/2950/	2019-12-17 18:48:56
45	Хатико: Самый верный друг	8.341	8.1	2008	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/387556/	2019-12-17 18:48:56
46	Огни большого города	8.508	8.5	1931	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/414/	2019-12-17 18:48:56
47	Унесённые призраками	8.433	8.6	2001	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/370/	2019-12-17 18:48:56
48	...А зори здесь тихие	8.504	8.2	1972	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/43395/	2019-12-17 18:48:56
49	Эта замечательная жизнь	8.453	8.6	1947	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/348/	2019-12-17 18:48:56
50	Кавказская пленница, или Новые приключения Шурика	8.457	8.4	1966	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/44745/	2019-12-17 18:48:56
51	Хороший, плохой, злой	8.528	8.8	1966	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/349/	2019-12-17 18:48:56
52	Хористы	8.278	7.9	2004	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/51481/	2019-12-17 18:48:56
53	Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей  (ТВ)	8.6	8.7	1981	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/77263/	2019-12-17 18:48:56
54	Семь	8.295	8.6	1995	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/377/	2019-12-17 18:48:56
55	Молчание ягнят	8.332	8.6	1990	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/345/	2019-12-17 18:48:56
56	Шоу Трумана	8.252	8.1	1998	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/4541/	2019-12-17 18:48:56
57	Как приручить дракона	8.201	8.1	2010	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/280172/	2019-12-17 18:48:56
58	Терминатор 2: Судный день	8.307	8.5	1991	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/444/	2019-12-17 18:48:56
59	Джанго освобожденный	8.181	8.4	2012	https://www.kinopoisk.ruhttps://www.kinopoisk.ru/film/586397/	2019-12-17 18:48:56
